Control Family,Control ID,Control Name,Implementation Status,Implementation Notes,Responsible Party,Evidence Location
System and Communications Protection,SC-12,Cryptographic Key Establishment and Management,Implemented,Azure Key Vault for key management with HSM backing,Security Architecture,Key Vault Documentation
System and Communications Protection,SC-13,Cryptographic Protection,Implemented,AES-256 encryption standards documented and implemented,Security Architecture,STD-CRYPTO-001
System and Communications Protection,SC-15,Collaborative Computing Devices,Implemented,Video conferencing security controls and monitoring,IT Security,Teams/Zoom Policies
System and Communications Protection,SC-17,Public Key Infrastructure Certificates,Implemented,Internal PKI with automated certificate lifecycle management,Security Architecture,PKI Documentation
System and Communications Protection,SC-20,Secure Name/Address Resolution Service,Implemented,DNS filtering and secure DNS over HTTPS implementation,Network Security,DNS Configuration
System and Communications Protection,SC-21,Secure Name/Address Resolution Service (Recursive or Caching Resolver),Implemented,Internal DNS servers with security controls,Network Security,DNS Architecture
System and Communications Protection,SC-22,Architecture and Provisioning for Name/Address Resolution Service,Implemented,Redundant DNS architecture with security monitoring,Network Security,DNS Documentation
Incident Response,IR-1,Incident Response Policy and Procedures,Implemented,Comprehensive incident response plan maintained and tested,CISO,Incident Response Plan v4.1
Incident Response,IR-2,Incident Response Training,Implemented,Quarterly tabletop exercises and annual training program,Security Training,Training Records
Incident Response,IR-3,Incident Response Testing,Implemented,Annual incident response plan testing with external facilitation,Security Operations,Test Reports
Incident Response,IR-4,Incident Handling,Implemented,24/7 incident response capability with documented procedures,Security Operations,ServiceNow Incident Module
Incident Response,IR-5,Incident Monitoring,Implemented,SIEM-based incident detection with automated alerting,Security Operations,Splunk/SOAR Integration
Incident Response,IR-6,Incident Reporting,Implemented,Incident reporting procedures with regulatory notification timelines,Security Operations,Incident Response Plan
Incident Response,IR-7,Incident Response Assistance,Implemented,External incident response support contracts in place,Security Operations,Vendor Contracts
Incident Response,IR-8,Incident Response Plan,Implemented,Comprehensive incident response plan with regular updates,CISO,Incident Response Plan v4.1
